node1	node2	color	width
Aarg01G010040	GWHPBRAE001324	0.996323845925244	2.02463231988581e-5
Aarg01G010040	GWHPBRAE004305	0.991841107030073	9.95797430474177e-5
Aarg01G010040	GWHPBRAE005269	0.997564423006666	8.89082897126414e-6
Aarg01G010040	GWHPBRAE002152	0.993789760925288	5.77308486868766e-5
Aarg01G010040	GWHPBRAE000275	0.990458184892006	1.3613498015985e-4
Aarg01G010040	GWHPBRAE001212	0.992198216294395	9.10643046654336e-5
Aarg01G010040	GWHPBRAE005307	0.993050054717672	7.22847619178957e-5
Aarg01G010040	GWHPBRAE003567	0.990891800130399	1.240611523321e-4
Aarg01G010040	GWHPBRAE001344	0.990614907945046	1.3170661008699e-4
Aarg01G010040	GWHPBRAE005257	0.996617439266023	1.71432245270609e-5
Aarg01G010040	GWHPBRAE004097	0.995718696326941	2.74551045027494e-5
Aarg01G010040	GWHPBRAE006115	0.994284162419032	4.89128283869267e-5
Aarg01G010040	GWHPBRAE003396	0.993362040818594	6.5947510595965e-5
Aarg01G010040	GWHPBRAE004014	0.991314406539373	1.128316820842e-4
Aarg01G010040	GWHPBRAE002162	0.993122625291335	7.07847803178563e-5
Aarg01G010040	GWHPBRAE004550	0.995242385101617	3.38985052144025e-5
Aarg01G010040	GWHPBRAE005366	0.99427224944128	4.91167341758469e-5
Aarg01G010040	GWHPBRAE003434	0.994372925305045	4.74068666727057e-5
Aarg01G010040	GWHPBRAE005394	0.9971319861998	1.23264593088201e-5
Aarg01G010040	GWHPBRAE002210	0.999017236137769	1.44826262449271e-6
Aarg01G010040	GWHPBRAE001342	0.997305135450967	1.08836569558957e-5
Aarg01G010040	GWHPBRAE001849	0.994590083490365	4.38216284166515e-5
Aarg01G010040	GWHPBRAE005514	-0.997423971532512	9.94533683496002e-6
Aarg01G010040	GWHPBRAE005028	-0.996840655694059	1.4956417236478e-5
Aarg01G010040	GWHPBRAE000672	-0.998427283252752	3.70821194195514e-6
Aarg01G010040	GWHPBRAE003377	0.993020732994023	7.28952712769626e-5
