ID	group
ID111001	meta_1
ID111002	meta_2
ID111003	meta_3
ID111004	meta_4
ID111005	meta_5
ID111006	meta_1
ID111007	meta_2
ID111008	meta_3
ID111009	meta_4
ID111010	meta_5
ID111011	meta_1
ID111012	meta_2
ID111013	meta_3
ID111014	meta_4
ID111015	meta_5
ID111016	meta_1
ID111017	meta_2
ID111018	meta_3
ID111019	meta_4
ID111020	meta_5
ID111021	meta_1
ID111022	meta_2
ID111023	meta_3
ID111024	meta_4
ID111025	meta_5
ID111026	meta_1
ID111027	meta_2
ID111028	meta_3
ID111029	meta_4
ID111030	meta_5
ID111031	meta_1
ID111032	meta_2
ID111033	meta_3
ID111034	meta_4
ID111035	meta_5
ID111036	meta_1
ID111037	meta_2
ID111038	meta_3
ID111039	meta_4
ID111040	meta_5
ID111041	meta_1
ID111042	meta_2
ID111043	meta_3
ID111044	meta_4
ID111045	meta_5
ID111046	meta_1
ID111047	meta_2
ID111048	meta_3
ID111049	meta_4
ID111050	meta_5
ID111051	meta_1
ID111052	meta_2
ID111053	meta_3
ID111054	meta_4
ID111055	meta_5
ID111056	meta_1
ID111057	meta_2
ID111058	meta_3
ID111059	meta_4
ID111060	meta_5
ID111061	meta_1
ID111062	meta_2
ID111063	meta_3
ID111064	meta_4
ID111065	meta_5
ID111066	meta_1
ID111067	meta_2
ID111068	meta_3
ID111069	meta_4
ID111070	meta_5
ID111071	meta_1
ID111072	meta_2
ID111073	meta_3
ID111074	meta_4
ID111075	meta_5
ID111076	meta_1
ID111077	meta_2
ID111078	meta_3
ID111079	meta_4
ID111080	meta_5
ID111081	meta_1
ID111082	meta_2
ID111083	meta_3
ID111084	meta_4
ID111085	meta_5
ID111086	meta_1
ID111087	meta_2
ID111088	meta_3
ID111089	meta_4
ID111090	meta_5
ID111091	meta_1
ID111092	meta_2
ID111093	meta_3
ID111094	meta_4
ID111095	meta_5
ID111096	meta_1
ID111097	meta_2
ID111098	meta_3
ID111099	meta_4
ID111100	meta_5
ID111101	meta_1
ID111102	meta_2
ID111103	meta_3
ID111104	meta_4
ID111105	meta_5
ID111106	meta_1
ID111107	meta_2
ID111108	meta_3
ID111109	meta_4
ID111110	meta_5
ID111111	meta_1
ID111112	meta_2
ID111113	meta_3
ID111114	meta_4
ID111115	meta_5
ID111116	meta_1
ID111117	meta_2
ID111118	meta_3
ID111119	meta_4
ID111120	meta_5
ID111121	meta_1
ID111122	meta_2
ID111123	meta_3
ID111124	meta_4
ID111125	meta_5
ID111126	meta_1
ID111127	meta_2
ID111128	meta_3
ID111129	meta_4
ID111130	meta_5
ID111131	meta_1
ID111132	meta_2
ID111133	meta_3
ID111134	meta_4
ID111135	meta_5
ID111136	meta_1
ID111137	meta_2
ID111138	meta_3
ID111139	meta_4
ID111140	meta_5
ID111141	meta_1
ID111142	meta_2
ID111143	meta_3
ID111144	meta_4
ID111145	meta_5
ID111146	meta_1
ID111147	meta_2
ID111148	meta_3
ID111149	meta_4
ID111150	meta_5
ID111151	meta_1
ID111152	meta_2
ID111153	meta_3
ID111154	meta_4
ID111155	meta_5
ID111156	meta_1
ID111157	meta_2
ID111158	meta_3
ID111159	meta_4
ID111160	meta_5
ID111161	meta_1
ID111162	meta_2
ID111163	meta_3
ID111164	meta_4
ID111165	meta_5
ID111166	meta_1
ID111167	meta_2
ID111168	meta_3
ID111169	meta_4
ID111170	meta_5
ID111171	meta_1
ID111172	meta_2
ID111173	meta_3
ID111174	meta_4
ID111175	meta_5
ID111176	meta_1
ID111177	meta_2
ID111178	meta_3
ID111179	meta_4
ID111180	meta_5
ID111181	meta_1
ID111182	meta_2
ID111183	meta_3
ID111184	meta_4
ID111185	meta_5
ID111186	meta_1
ID111187	meta_2
ID111188	meta_3
ID111189	meta_4
ID111190	meta_5
ID111191	meta_1
ID111192	meta_2
ID111193	meta_3
ID111194	meta_4
ID111195	meta_5
ID111196	meta_1
ID111197	meta_2
ID111198	meta_3
ID111199	meta_4
ID111200	meta_5
